T.N.O,Tails.O,T_pval_USE..O.,T.pval.O,T.N.R,Tails.R,T.pval.USE.R,T.pval.R,T.r.O,T.r.R,Original.Author.s.Assessment,T.df1.O,T.df1.R,T.df2.O,T.df2.R
12,,6.06E-42,0.00001,12,,3.35E-33,0,0.130782132,0.120519146,1,18,18,660,660
115,,0.023051359,0.92,166,,0.539024693,0.539,0.21368683,-0.048918238,1,1,1,111,158
48,,9.77E-13,0.001,,,,,1.029664185,,,1,,,
31,1,0.01713346,0.05,43,1,0.053115031,0.11,0.38,0.25,1,,,,
12,2,0.00021998,0.99,24,,2.82E-08,0.99,0.851679354,0.828997685,1,1,,11,
8,2,0.02809598,0.028,17,2,0.000000049,0.0001,0.721890032,0.922934494,9,1,1,7,16
4,,4.85E-17,0.001,,,,,0.919994961,,,1,,38,
36,,0.02067727,0.93,70,,0.778156632,0.79,0.384260399,-0.034279559,9,1,1,34,68
,,,,,,,,,,,,,,
3412,,7.59E-40,0.001,,,,,0.283587799,,,33,,,
32,2,0.0000293,0,26,,0.004708112,0.00471,0.685347348,0.527307869,9,1,1,28,25
33,,,0.02,,,,,,,1,,,,
28,,0.051411614,0.92,66,,0.887981301,0.89,0.371775163,0.017674908,1,1,1,26,64
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
25,,0.002850691,0.005,30,,0.254170145,0.254,0.246947019,0.179397898,4,3,1.48,69,41.458
24,,0.025570456,,38,,0.007242548,0.007,0.445652636,0.423363806,1,1,1,23,37
119,,0.023,0.023,238,2,2.41E-16,0.000001,0.20996855,0.500179963,1,1,1,115,234
684,,0.912448643,0.18,3597,2,3.14E-10,0,0.00464002,0.105891025,1,1,1,562,3511.1
30,,0.005086904,0.01,58,,0.444536036,0.44,0.498149178,0.102355162,2,1,1,28,56
26867,,,,,,,,,,,,,,
90,,5.28E-05,1,,,,,0.323295181,,,2,,84,
4,,0.002712614,0.005,5,1,0.000217732,0,0.496363588,0.505151268,1,3,3,9,12
84,,0.009205933,0.95,125,,0.786998369,0.787,0.233776428,0.044266281,,2,2,81,122
100,,0.047127477,0.05,,,,,0.206419847,,,1,,91,
82,,1.39E-43,0.001,88,,3.30E-52,0.0001,0.593405778,0.609913782,1,2,2,162,174
57,,0.007654847,0.01,78,,0.677581223,0.68,0.172960188,0.061707156,1,4,4,108,150
,,,,,,,,,,,,,,
80,2,2.10E-16,0,40,2,0.00000885,0.0001,0.768651993,0.652982567,1,1,1,76,36
30,2,0.006420541,0.007,24,2,0.083950437,0.09,0.649955571,0.497082522,1,1,1,14,11
37,,0.010189448,0.01,,,,,0.303094508,,,1,,69,
208,,0.008092031,0.008,263,,0.627520896,0.628,0.188662549,-0.030172295,1,1,1,194,259
208,,0.008092031,0.008,318,,0.74612573,0.746,0.188662549,0.018283411,1,1,1,194,314
14,,0.002344469,0.99,19,,0.380003702,0.369,0.722536382,0.207514339,9,1,1,13,18
43,,0.007866967,0.97,126,,0.974823723,0.97,0.400010244,0.002839798,1,1,1,41,124
127,,0.023974716,0.05,,,,,0.2,,,,,,
8,,0.002971641,0.001,8,,0.758308044,0.76,0.859552403,0.120073568,1,1,1,7,7
70,2,0.000166938,,16,2,0.690466537,,0.43,0.11,1,,,,
53,,0.023414774,0.05,72,2,0.777533992,0.78,0.31,-0.034,1,,,,
20,,0.937803018,0.93,,,,,0.355146097,,,1,,18,
27,,0.020787407,0.92,,,,,0.589311447,,,1,,13,
40,,0.017182464,0.927,95,,0.0000346,0.000035,0.374787884,0.411336583,1,1,1,38,93
20,,7.20E-05,0.001,,,,,0.769849352,,,1,,18,
268,2,0.017775393,0.93,,,,,0.295458535,,1,1,,62,
48,,0.000665379,0.01,48,2,0.237041962,0.237,0.483442318,0.177837588,2,1,1,44,44
133,,0.000987739,0.986,,,,,0.469786797,,,1,,44,
44,,,,,,,,,,,,,,
12,2,0.009931447,0.01,,,,,0.683979364,,1,1,,11,
56,,0.033697241,0.037,51,,0.210207014,0.21,0.28378815,-0.175454592,1,1,1,,
,,,,,,,,,,,,,,
18,,0.007169828,0.97,22,,0.241925362,0.24,0.595271914,0.25414164,1,1,1,17,21
